           5.01           5.03           5.08           6.06           7.71          10.84          13.75          16.47          17.79          18.99          20.68          22.18          23.67          25.50          27.41          30.23          32.41          34.15          36.38          38.61          40.95          43.42          46.12          51.54          58.83          74.00         114.98         157.84         211.75         261.97         321.85         375.63         428.33         467.60         499.34         501.06         500.78         500.73         501.32         502.56         504.15         515.69         531.56         559.13         578.04         594.24         597.43         600.05         603.33         610.84         618.33         633.89         655.21         684.95         713.48         744.44         774.41         810.44         848.92         895.66         944.47        1019.77        1163.94        1316.14        1568.88        1815.95        2065.02        2233.93        2404.61        2482.89        2550.31        2601.16        2641.19        2675.39        2696.04        2712.97        2727.27        2740.68        2754.36        2779.42        2819.59        2856.27        2896.90        2936.31        2970.19        2999.30        3027.79        3046.81        3053.30        3048.56        3045.45        3040.25        3033.11        3036.83        3072.08        3171.56        3298.87        3473.04        3651.07        3833.47        3966.51        4095.95        4224.31        4361.18        4501.08        4650.15        4791.32        4907.58        4981.66        5033.91
           5.00           5.04           5.16           5.76           7.05           9.39          11.97          14.37          16.13          17.47          18.84          20.16          21.58          23.41          25.57          27.78          29.78          31.81          34.21          36.74          39.36          41.92          44.10          48.31          55.09          67.66          89.72         119.53         159.91         205.19         254.57         302.09         348.40         393.46         436.95         469.42         488.10         492.67         494.09         495.03         499.97         512.78         531.71         555.66         575.51         587.74         593.49         596.92         599.64         603.13         608.64         621.50         640.87         668.60         698.65         730.59         762.33         794.99         826.20         864.66         912.25         985.82        1093.97        1240.92        1443.99        1679.19        1928.31        2146.00        2321.07        2437.14        2515.96        2570.28        2610.31        2637.53        2658.02        2677.09        2693.83        2708.81        2721.06        2734.42        2750.50        2770.52        2796.83        2828.63        2860.49        2894.11        2925.05        2947.96        2961.86        2970.51        2977.49        2986.40        3012.09        3060.56        3146.07        3271.95        3428.25        3602.37        3774.58        3927.32        4059.70        4187.24        4314.42        4445.82        4580.94        4710.40        4825.63        4910.68        4967.79        5005.47
           5.00           5.01           5.05           5.33           6.20           7.87          10.05          12.41          14.23          15.78          16.97          18.17          19.56          21.25          23.22          25.30          27.17          29.28          31.87          34.58          37.39          39.84          42.17          44.58          49.76          58.33          72.25          91.95         120.04         156.85         198.05         240.48         285.56         335.88         392.06         447.75         476.11         486.95         484.30         484.82         488.30         501.72         522.07         544.78         563.25         576.09         584.41         590.16         594.58         597.97         602.41         611.10         628.85         651.85         682.15         714.46         748.40         779.24         808.39         838.02         881.51         944.04        1040.06        1164.39        1336.71        1556.54        1799.65        2032.47        2236.84        2376.15        2469.28        2530.84        2569.38        2596.33        2619.49        2641.79        2661.85        2676.42        2687.51        2695.73        2703.63        2711.79        2724.56        2740.80        2762.06        2789.36        2819.98        2847.74        2870.23        2892.41        2919.74        2958.06        3023.70        3119.32        3243.52        3394.36        3563.02        3738.03        3894.19        4031.15        4152.10        4273.06        4397.78        4524.28        4648.59        4758.04        4845.75        4909.20        4952.58        4986.35
           5.00           5.00           5.03           5.08           5.48           6.42           8.15          10.01          12.11          13.82          15.37          16.64          18.01          19.55          21.52          23.58          25.47          27.49          29.75          32.28          34.69          37.11          39.00          41.30          45.26          51.38          59.81          71.80          89.78         115.84         147.98         186.52         230.93         282.95         353.61         416.38         458.64         467.79         468.19         463.01         465.84         477.35         496.82         518.14         536.51         551.43         565.16         576.74         585.61         592.06         596.71         604.66         617.44         637.08         663.03         696.34         730.85         764.04         792.03         818.82         857.15         911.23         988.81        1096.34        1236.99        1431.31        1655.20        1907.21        2122.42        2299.58        2405.50        2475.82        2517.70        2549.19        2579.35        2605.78        2626.71        2641.75        2652.63        2661.24        2668.05        2672.70        2677.31        2683.65        2693.76        2713.99        2739.40        2770.78        2806.18        2851.03        2908.20        2985.69        3089.26        3220.51        3369.70        3530.20        3697.86        3855.48        4000.30        4121.00        4229.25        4345.41        4467.13        4585.76        4693.48        4781.59        4844.17        4890.75        4932.40        4972.25
           5.00           5.00           5.00           5.03           5.14           5.72           6.60           8.15           9.93          12.15          14.05          15.72          17.19          18.83          20.79          22.71          24.45          25.96          27.70          29.55          31.71          33.89          35.79          38.12          41.33          46.13          52.27          59.81          70.98          87.38         111.72         143.16         184.50         240.06         305.67         376.79         418.03         433.71         435.36         432.73         433.64         445.48         464.88         481.43         496.20         514.24         533.06         552.72         568.06         579.68         587.74         595.48         605.73         619.62         641.00         672.89         709.92         746.51         776.04         805.25         834.70         882.03         947.62        1033.79        1150.26        1302.92        1515.76        1744.79        1990.45        2181.31        2319.86        2399.91        2459.28        2499.72        2535.40        2564.01        2583.89        2599.32        2612.10        2623.97        2633.88        2639.53        2642.08        2646.53        2656.35        2674.00        2704.87        2749.31        2806.36        2879.66        2972.45        3075.21        3201.35        3342.71        3500.10        3662.98        3812.14        3955.60        4085.79        4194.83        4299.30        4411.65        4524.33        4625.92        4714.17        4778.45        4824.84        4866.19        4907.10        4945.78
           5.00           5.00           5.00           5.01           5.03           5.15           5.61           6.35           7.98          10.12          12.32          14.36          16.50          18.41          20.27          21.87          23.04          24.12          25.28          26.69          28.54          30.49          32.37          34.45          37.68          41.53          45.97          51.24          58.24          70.10          86.08         111.03         144.20         188.70         247.96         308.62         354.18         382.01         394.21         403.08         409.47         421.83         434.08         441.81         449.38         461.95         488.98         515.64         538.16         555.10         567.64         578.22         589.56         600.74         619.27         646.59         684.38         721.08         757.19         784.71         815.37         852.32         906.48         974.51        1059.73        1189.28        1364.00        1590.22        1825.62        2043.14        2201.10        2313.45        2390.38        2444.84        2484.33        2514.16        2535.24        2551.10        2566.24        2581.37        2593.37        2600.99        2607.44        2616.29        2633.59        2668.49        2717.78        2788.24        2875.01        2976.51        3091.44        3210.93        3331.35        3471.01        3626.41        3772.62        3910.08        4033.05        4148.79        4254.19        4360.08        4472.87        4573.03        4651.12        4715.33        4762.04        4799.10        4836.31        4876.02        4904.71
           5.00           5.00           5.00           5.00           5.01           5.05           5.15           5.55           6.51           7.97           9.62          11.71          14.04          16.60          18.51          19.83          20.79          21.71          22.69          23.97          25.56          27.27          28.85          30.90          33.76          36.88          40.15          43.90          48.53          55.57          66.58          82.18         107.77         140.58         187.33         239.18         290.05         324.09         354.36         374.55         389.82         401.94         408.36         406.25         402.70         415.54         440.45         472.64         499.42         519.69         536.17         550.46         562.02         574.24         589.70         616.59         649.68         691.53         729.32         763.08         792.35         824.25         865.33         918.93         984.04        1083.08        1228.64        1425.32        1642.65        1863.01        2052.66        2201.89        2306.84        2380.41        2426.99        2459.02        2482.56        2501.38        2518.64        2533.87        2545.82        2555.09        2566.80        2590.54        2629.14        2691.87        2774.75        2877.45        2993.90        3117.21        3246.21        3372.07        3500.00        3625.71        3756.91        3889.35        4003.18        4117.36        4220.09        4319.01        4421.15        4517.31        4595.74        4652.64        4698.47        4736.05        4767.51        4804.42        4845.93        4880.31
           5.00           5.00           5.00           5.00           5.00           5.01           5.04           5.17           5.61           6.39           7.33           8.79          11.25          13.56          15.77          17.24          18.32          19.26          20.29          21.60          23.10          24.51          26.11          28.08          30.46          33.15          35.76          38.21          41.21          45.24          52.16          62.43          77.66         102.47         136.00         181.93         227.74         275.35         314.94         347.27         369.99         384.06         384.23         377.34         373.69         383.16         406.90         436.16         460.39         482.66         500.59         515.51         528.49         540.45         555.85         577.76         611.84         651.62         693.94         731.62         761.54         792.69         825.80         865.05         916.17         987.52        1108.02        1259.33        1457.98        1670.43        1888.97        2067.14        2213.85        2303.54        2359.56        2398.65        2426.34        2448.36        2465.82        2481.36        2495.01        2512.46        2541.04        2586.53        2655.75        2749.97        2868.90        2999.87        3133.73        3268.17        3400.77        3535.92        3658.55        3771.77        3881.80        3989.03        4100.46        4207.02        4303.26        4386.62        4466.99        4535.83        4586.92        4631.34        4670.77        4705.80        4739.95        4779.71        4824.79        4875.43
           5.00           5.00           5.00           5.00           5.00           5.00           5.01           5.04           5.23           5.56           6.07           7.09           8.53          10.57          12.65          14.54          16.04          17.22          18.40          19.63          20.90          22.21          23.80          25.72          27.80          30.00          32.15          34.19          36.22          38.99          42.78          49.60          59.94          75.82         100.66         134.04         179.10         225.66         272.20         311.74         343.72         356.73         357.25         347.57         346.08         356.05         378.41         401.88         427.45         448.18         465.06         481.47         495.32         507.85         521.58         540.90         571.92         611.02         654.66         693.98         728.54         756.95         786.20         817.03         857.21         915.58         998.69        1122.49        1278.26        1480.12        1691.65        1908.52        2075.91        2201.04        2275.23        2327.97        2363.34        2387.22        2407.05        2425.13        2449.02        2484.61        2540.01        2618.65        2719.16        2844.14        2984.24        3128.23        3264.98        3390.83        3516.98        3639.16        3756.65        3860.22        3959.92        4065.63        4171.88        4265.65        4342.41        4411.52        4471.77        4520.78        4564.66        4604.73        4642.16        4678.09        4716.04        4759.11        4807.72        4859.99
           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.02           5.10           5.28           5.44           5.73           6.46           7.56           9.20          11.24          13.29          15.14          16.42          17.59          18.64          19.85          21.39          23.09          24.93          26.80          28.66          30.29          31.69          33.93          37.33          42.14          49.32          58.52          73.14          96.85         129.21         171.40         216.36         263.99         300.91         320.89         322.08         318.07         317.44         328.55         347.24         371.07         394.97         413.04         427.89         442.99         459.50         474.86         488.89         508.40         535.54         572.88         612.29         653.34         687.82         717.94         744.17         772.25         802.99         849.24         915.58        1006.90        1135.42        1296.88        1501.10        1704.16        1897.20        2045.81        2156.72        2230.27        2287.18        2319.09        2345.17        2371.03        2412.07        2473.67        2560.91        2673.57        2802.12        2946.22        3094.30        3231.91        3351.85        3464.01        3573.26        3684.56        3795.62        3900.61        4006.97        4112.09        4206.46        4284.18        4342.21        4393.46        4446.98        4495.82        4544.35        4584.69        4623.06        4656.15        4695.17        4740.59        4789.56        4837.68
